Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Private_or_Commercial,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Injuries,Total.Uninjured,Weather.Condition,Publication.Date
20050119X00067,IAD05LA030,2005-01-01,"FALMOUTH, MA",Non-Fatal,Substantial,Airplane,Beech,G35,1,Reciprocating,Personal,Private,1,0,0,1.0,2,VMC,28-04-2005
20050119X00068,IAD05LA029,2005-01-01,"POUGHKEEPSIE, NY",Non-Fatal,Substantial,Airplane,Cessna,172L,1,Reciprocating,Personal,Private,1,0,0,1.0,1,VMC,28-04-2005
20050106X00025,CHI05LA050,2005-01-01,"AINSWORTH, NE",Non-Fatal,Substantial,Airplane,Cessna,551,2,Turbo Fan,Personal,Private,1,0,2,3.0,3,IMC,31-07-2006
20050111X00034,ANC05LA021,2005-01-01,"CHICKALOON, AK",Non-Fatal,Substantial,Airplane,Maule,M-7,1,Reciprocating,Personal,Private,1,2,2,5.0,5,VMC,20-12-2005
20050106X00023,LAX05FA058,2005-01-02,"PALO ALTO, CA",Non-Fatal,Substantial,Airplane,Piper,PA-46-350P,1,Reciprocating,Personal,Private,1,0,1,2.0,3,VMC,25-04-2006
20050127X00111,SEA05CA035,2005-01-03,"DAVENPORT, WA",Non-Fatal,Substantial,Airplane,Cessna,310J,1,Reciprocating,Personal,Private,1,0,0,1.0,2,VMC,30-03-2005
20050216X00195,LAX05CA059,2005-01-03,"THERMAL, CA",Non-Fatal,Substantial,Airplane,Cessna,441,2,Turbo Prop,Personal,Private,1,0,0,1.0,5,IMC,28-04-2005
20050118X00060,DEN05IA046,2005-01-03,"Denver, CO",Incident,Minor,Airplane,Beech,1900D,2,Turbo Prop,,Unknown,1,0,1,2.0,15,VMC,08-06-2005
20050124X00093,NYC05LA044,2005-01-04,"CLEVELAND, OH",Non-Fatal,Substantial,Airplane,Aero Commander,690A,2,Turbo Prop,Business,Private,1,0,0,1.0,3,VMC,27-10-2005
20050201X00125,MIA05CA048,2005-01-04,"CLEWISTON, FL",Non-Fatal,Substantial,Airplane,Cessna,172SP,1,Reciprocating,Personal,Private,1,0,0,1.0,2,VMC,30-03-2005
20050208X00155,ATL05CA037,2005-01-04,"OCEAN ISLE BEAC, NC",Non-Fatal,Substantial,Airplane,"Stanley, Davey L",Pulsar III,1,Reciprocating,Personal,Private,1,0,0,1.0,1,VMC,30-03-2005
20050726X01101,ANC05WA023,2005-01-04,"Kyiv, Ukraine",Incident,Minor,Airplane,Canadair,CL-600,1,,,Unknown,1,0,0,1.0,2,VMC,26-07-2005
20050204X00132,ATL05LA039,2005-01-05,"POLKTON, NC",Non-Fatal,Substantial,Airplane,Piper,PA-32-300,1,Reciprocating,,Unknown,1,0,0,1.0,1,VMC,20-12-2005
