Model,Total.Injuries,Total.Uninjured,Total.Passengers,Survival Rate,Survival Category
(EX) RV-6,2.0,0,2.0,0.0,0-50%
0-1A,1.0,2,3.0,0.6666666666666666,50-75%
0-58A,0.0,1,1.0,1.0,100%
0-58B,2.0,3,5.0,0.6,50-75%
01,2.0,0,2.0,0.0,0-50%
1,1.0,0,1.0,0.0,0-50%
1 AARDEMA RAG WNG SP,0.0,1,1.0,1.0,100%
1-A,2.0,0,2.0,0.0,0-50%
1.131E,1.0,1,2.0,0.5,0-50%
10,0.0,1,1.0,1.0,100%
10-A,2.0,5,7.0,0.7142857142857143,50-75%
100,31.0,93,124.0,0.75,50-75%
100 180,0.0,1,1.0,1.0,100%
100-180,1.0,6,7.0,0.8571428571428571,75-90%
1000,1.0,0,1.0,0.0,0-50%
1000LT,3.0,0,3.0,0.0,0-50%
1002,2.0,0,2.0,0.0,0-50%
108,46.0,60,106.0,0.5660377358490566,50-75%
108 - 3,0.0,1,1.0,1.0,100%
108 1,0.0,7,7.0,1.0,100%
108 3,1.0,2,3.0,0.6666666666666666,50-75%
108-1,10.0,24,34.0,0.7058823529411765,50-75%
108-2,12.0,30,42.0,0.7142857142857143,50-75%
108-3,14.0,19,33.0,0.5757575757575758,50-75%
10A,0.0,6,6.0,1.0,100%
110,3.0,6,9.0,0.6666666666666666,50-75%
110 Special,1.0,1,2.0,0.5,0-50%
110P1,3.0,10,13.0,0.7692307692307693,75-90%
110SP,1.0,5,6.0,0.8333333333333334,75-90%
112,14.0,16,30.0,0.5333333333333333,50-75%
112 TCA,1.0,5,6.0,0.8333333333333334,75-90%
1124,12.0,18,30.0,0.6,50-75%
1124A,12.0,7,19.0,0.3684210526315789,0-50%
1125,0.0,5,5.0,1.0,100%
1125 WESTWIND ASTRA,0.0,7,7.0,1.0,100%
112A,8.0,6,14.0,0.42857142857142855,0-50%
112TC,1.0,7,8.0,0.875,75-90%
112TCA,4.0,2,6.0,0.3333333333333333,0-50%
114,15.0,26,41.0,0.6341463414634146,50-75%
114-B,4.0,6,10.0,0.6,50-75%
114A,0.0,4,4.0,1.0,100%
114B,3.0,0,3.0,0.0,0-50%
114TC,1.0,4,5.0,0.8,75-90%
11A,0.0,1,1.0,1.0,100%
11AC,16.0,29,45.0,0.6444444444444445,50-75%
11BC,0.0,1,1.0,1.0,100%
11CC,2.0,11,13.0,0.8461538461538461,75-90%
11E,0.0,3,3.0,1.0,100%
12,3.0,0,3.0,0.0,0-50%
12-m,2.0,0,2.0,0.0,0-50%
120,31.0,162,193.0,0.8393782383419689,75-90%
1200,2.0,1,3.0,0.3333333333333333,0-50%
120A-1,2.0,0,2.0,0.0,0-50%
125-700,1.0,10,11.0,0.9090909090909091,90-99%
12Q,0.0,1,1.0,1.0,100%
12S,1.0,0,1.0,0.0,0-50%
14 19,0.0,2,2.0,1.0,100%
14-13,2.0,0,2.0,0.0,0-50%
14-13-2,2.0,6,8.0,0.75,50-75%
14-13-3,2.0,5,7.0,0.7142857142857143,50-75%
14-13-3A,0.0,1,1.0,1.0,100%
14-19,1.0,7,8.0,0.875,75-90%
14-19-2,1.0,4,5.0,0.8,75-90%
14-19-3,1.0,9,10.0,0.9,75-90%
14-19-3A,1.0,0,1.0,0.0,0-50%
140,68.0,159,227.0,0.7004405286343612,50-75%
1400,1.0,0,1.0,0.0,0-50%
140A,5.0,12,17.0,0.7058823529411765,50-75%
1413,0.0,3,3.0,1.0,100%
1419,0.0,4,4.0,1.0,100%
145,1.0,102,103.0,0.9902912621359223,100%
145EP,1.0,78,79.0,0.9873417721518988,90-99%
145LR,2.0,45,47.0,0.9574468085106383,90-99%
146,0.0,2,2.0,1.0,100%
150,140.0,179,319.0,0.5611285266457681,50-75%
150 - F,2.0,0,2.0,0.0,0-50%
150 - G,0.0,2,2.0,1.0,100%
1500R,1.0,0,1.0,0.0,0-50%
150A,4.0,4,8.0,0.5,0-50%
150B,5.0,5,10.0,0.5,0-50%
150C,0.0,7,7.0,1.0,100%
150D,8.0,14,22.0,0.6363636363636364,50-75%
150E,10.0,8,18.0,0.4444444444444444,0-50%
150F,57.0,66,123.0,0.5365853658536586,50-75%
150G,38.0,73,111.0,0.6576576576576577,50-75%
